../data/airports.txt
../data/routes.txt
16,656610
3364,597956
3577,568922
3774,512801
193,440575
1701,440435
421,433846
3484,426950
3093,380290
156,355169
2279,335136
3830,327914
3751,325381
3858,315371
2397,309375
3399,307326
2564,287987
2948,272582
507,272057
4029,270801
5,268598
3077,267818
737,266082
2709,264795
3361,250841
813,246731
146,242015
1229,240228
3320,238266
2650,234792
3797,233342
3682,228879
3550,227635
4059,222929
3448,221924
49,218375
580,213128
3930,209754
3670,206393
3576,201306
3885,201275
3728,201254
1960,201106
2910,193991
1638,192152
2851,190425
160,182048
3941,182013
2985,181577
2006,178368
4075,178331
1382,176481
2997,175981
3316,174245
3645,173846
951,172531
3382,169801
1997,166880
2442,164196
178,163311
3043,162558
3304,161268
2188,159540
1824,154497
644,154371
4074,154253
3125,154220
196,151196
189,151092
2359,149781
340,149391
3269,147220
1074,146230
273,145033
3832,143954
1128,143253
2789,143030
1107,139962
1871,136759
121,133874
1386,133767
2551,132098
2072,131998
210,130035
1555,129934
3239,123865
2560,123062
599,121934
3940,121762
3714,119591
3351,117488
3999,116916
1613,116580
2922,116127
609,115911
188,112039
8,110883
1020,110500
154,109755
4330,107311
3395,106347
3752,104263
3322,103382
478,103303
3494,103298
3599,103163
2526,99678
169,99382
161,94721
3370,94427
3876,94256
1885,93795
2939,92636
1218,91855
534,91832
2131,90340
3157,88711
1953,87843
3271,86942
1682,86893
55,86327
260,85573
2850,85061
4317,84826
2531,82761
2899,82149
3920,82070
3250,81418
2162,81395
2621,81218
3406,81098
2908,80269
3536,80058
893,79600
3877,78403
3199,76163
80,75921
2578,75392
1760,75362
3469,75157
4331,74182
346,73926
4144,73645
2762,73631
3379,73486
2983,71718
2979,70841
2559,69027
287,67814
2878,67733
970,67715
3024,67332
2882,67199
2988,65354
3953,64733
636,63533
2975,63525
2276,63469
502,63000
4078,62870
3693,62539
3266,62150
3462,62082
679,61896
1852,61684
2774,61676
3533,61597
3919,61585
4206,61257
2223,61130
3393,61011
2082,60941
3341,60248
4097,60021
3205,59500
1524,59038
1590,58592
